sampleID,filename_R1,extraction_no,label,growth_t4_corrected,in_obj_TempOrigin,in_obj_TempSurface,seq_DNA16S,seq_RNAmetatr,Sample_or_Control,sample_typ,sample_combi_this_is_treatment_group,last_timepoint,died_during_experiment,treat_origin,treat_temp,treat_surface,tank,pseudorep,dayt,swab,order,growth_punch,punch_length_t1t2,growth_rate_t1t2,punch_length_t2t3,growth_rate_t2t3,punch_length_t3t4,punch_length_t3t4_corrected,growth_rate_t3t4,growth_rate_t3t4_corrected,punch_length_t1t3,growth_rate_t1t3,punch_length_t1t4,punch_length_t1t4_corrected,growth_rate_t1t4,growth_rate_t1t4_corrected,bleach_bl,bleach_bl_t1,bleach_bl_t2,bleach_bl_t3,bleach_bl_t4,weight_punch,FvFm,wartz,weight_t3 samples,weight_t3 leftover,length_bl_t1,length_total_t1,weight_total_t1,diam_bulb_t1,length_sthf_t1,length_sthf_t4,survival_status
121_i-ia-t0,,121,initial_sample_DNA16S,False,True,True,True,False,true sample,swab,kelp_initial,,,initial,ambient,initial,i,a,t0,blade,1,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,
122_i-ib-t0,,122,initial_sample_DNA16S,False,True,True,True,False,true sample,swab,kelp_initial,,,initial,ambient,initial,i,b,t0,blade,2,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,
151_i-ic-t0,,151,initial_sample_DNA16S,False,True,True,True,False,true sample,swab,kelp_initial,,,initial,ambient,initial,i,c,t0,blade,3,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,
237_i-id-t0,,237,initial_sample_DNA16S,False,True,True,True,False,true sample,swab,kelp_initial,,,initial,ambient,initial,i,d,t0,blade,4,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,
238_i-ie-t0,,238,initial_sample_DNA16S,False,True,True,True,False,true sample,swab,kelp_initial,,,initial,ambient,initial,i,e,t0,blade,5,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,
239_i-if-t0,,239,initial_sample_DNA16S,False,True,True,True,False,true sample,swab,kelp_initial,,,initial,ambient,initial,i,f,t0,blade,6,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,
131_w10n-3B-t1,,131,kelp_wild10nat_3B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild10nat,t4,False,wild,10,nat,3,B,t1,blade,7,3,,,,,,,,,,,,,,,0,0,0,3,2,,,present,,,17.5,62.2,14.09,27.5,17.2,,survived_t4
X_w10n-3B-t2,,,kelp_wild10nat_3B_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild10nat,t4,False,wild,10,nat,3,B,t2,na,389,9,6,1.5,,,,,,,,,,,,,0,0,0,3,2,,,,,,,,,,,,survived_t4
258_w10n-3B-t3,,258,kelp_wild10nat_3B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild10nat,t4,False,wild,10,nat,3,B,t3,blade,8,13,,,4,1,,,,,10,1.25,,,,,3,0,0,3,2,,0.715,,0.9,2.42,,,,,,,survived_t4
31_w10n-3B-t4,,31,kelp_wild10nat_3B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild10nat,t4,False,wild,10,nat,3,B,t4,blade,9,18.5,,,,,5.5,5.5,1.833333333,1.833333333,,,15.5,15.5,1.409090909,1.409090909,2,0,0,3,2,0.08,,present,,,,,,,,22.5,survived_t4
